Code,State,GovPressRelease
AL,Alabama,https://governor.alabama.gov/newsroom/category/press-releases/
AK,Alaska,https://gov.alaska.gov/home/covid19news/
AZ,Arizona,https://azgovernor.gov/news-releases
AR,Arkansas,https://governor.arkansas.gov/news-media/press-releases/
CA,California,https://www.gov.ca.gov/category/press-releases/
CO,Colorado,https://www.colorado.gov/governor/news
CT,Connecticut,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases
DE,Delaware,https://governor.delaware.gov/newsroom/
DC,District of Columbia,https://mayor.dc.gov/newsroom
FL,Florida,https://www.flgov.com/
GA,Georgia,https://gov.georgia.gov/press-releases
HI,Hawaii,https://governor.hawaii.gov/category/newsroom/press-releases/
ID,Idaho,https://gov.idaho.gov/pressrelease/
IL,Illinois,https://www2.illinois.gov/sites/gov/newsroom/Pages/default.aspx
IN,Indiana,https://www.in.gov/gov/newsroom.htm
IA,Iowa,https://governor.iowa.gov/newsroom
KS,Kansas,https://governor.kansas.gov/newsroom/press-releases/
KY,Kentucky,https://governor.ky.gov/news
LA,Louisiana,https://gov.louisiana.gov/index.cfm/newsroom/home
ME,Maine,https://www.maine.gov/governor/mills/newsroom
MD,Maryland,https://governor.maryland.gov/category/press-releases/
MA,Massachusetts,https://www.mass.gov/orgs/office-of-the-governor
MI,Michigan,https://www.michigan.gov/whitmer/0
MN,Minnesota,https://mn.gov/governor/news/
MS,Mississippi,https://www.sos.ms.gov/About/Pages/Press-Releases.aspx
MO,Missouri,https://governor.mo.gov/press-releases
MT,Montana,http://governor.mt.gov/Pressroom
NE,Nebraska,https://governor.nebraska.gov/press-releases
NV,Nevada,http://gov.nv.gov/News/Press/Press_Releases_2020/
NH,New Hampshire,https://www.governor.nh.gov/news-media/press-2020/index.htm
NJ,New Jersey,https://nj.gov/governor/news/news/562020/approved/news_archive.shtml
NM,New Mexico,https://www.governor.state.nm.us/press-releases/
NY,New York,https://www.governor.ny.gov/news
NC,North Carolina,https://governor.nc.gov/news/press-releases
ND,North Dakota,https://www.governor.nd.gov/news
OH,Ohio,https://governor.ohio.gov/wps/portal/gov/governor/media/news-and-media
OK,Oklahoma,https://www.governor.ok.gov/newsroom
OR,Oregon,https://www.oregon.gov/newsroom/Pages/Agency.aspx?agency=GOV&category=
PA,Pennsylvania,https://www.governor.pa.gov/topic/press-release/
RI,Rhode Island,https://www.ri.gov/press/
SC,South Carolina,https://governor.sc.gov/news
SD,South Dakota,https://sd.gov/governor/governor/pressreleases.aspx
TN,Tennessee,https://www.tn.gov/governor/news.html
TX,Texas,https://gov.texas.gov/news/category/press-release
UT,Utah,https://governor.utah.gov/press/
VT,Vermont,https://governor.vermont.gov/press_releases
VA,Virginia,https://www.governor.virginia.gov/newsroom/news-releases/
WA,Washington,https://www.governor.wa.gov/news-media/news-media
WV,West Virginia,https://governor.wv.gov/News/Pages/default.aspx
WI,Wisconsin,https://evers.wi.gov/Pages/Newsroom/Press-Releases.aspx
WY,Wyoming,https://governor.wyo.gov/media/news-releases
